Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
City of Athens,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Athens, Texas,22782,https://www.ewg.org/tapwater/system.php?pws=TX1070005,7,25 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Selenium;Strontium,2012-2017,Purchased surface water
City of Austin Water & Wastewater,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Austin, Texas,981783,https://www.ewg.org/tapwater/system.php?pws=TX2270001,7,22 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;Barium;Bromochloroacetic acid;Bromoform;Cyanide;Dibromoacetic acid;Diquat;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Molybdenum;Monochloroacetic acid;Nitrate;Paraquat;Strontium;Vanadium,2012-2017,Surface water
City of Azle,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Azle, Texas,11800,https://www.ewg.org/tapwater/system.php?pws=TX2200002,6,24 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Antimony;Barium;Bromochloroacetic acid;Bromoform;Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Selenium;Strontium;Vanadium,2012-2017,Surface water
City of Balch Springs,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Balch Springs, Texas,30234,https://www.ewg.org/tapwater/system.php?pws=TX0570032,11,39 ,Arsenic*;Bromate*;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;1%2C2%2C4-Trimethylbenzene*;1%2C3%2C5-Trimethylbenzene*;Acetone*;Aluminum*;Antimony*;Atrazine*;Barium*;Bromochloroacetic acid;Bromoform;Chlorate*;Chromium (total);Cyanide*;Di(2-ethylhexyl) phthalate*;Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Manganese*;Methyl ethyl ketone*;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Naphthalene*;Nitrite;Selenium*;Simazine*;Strontium;Tetrahydrofuran*;Vanadium*,2012-2017,Purchased surface water
City of Bay City,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bay City, Texas,17614,https://www.ewg.org/tapwater/system.php?pws=TX1610001,7,24 ,Arsenic;Benzene;Bromodichloromethane;Bromoform;Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Bromochloroacetic acid;Chloroform;Dibromoacetic acid;Dichloroacetic acid;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Manganese;Methyl isobutyl ketone;Molybdenum;Nitrate;Nitrate and nitrite;Selenium;Strontium;Toluene;Xylenes (total),2012-2017,Groundwater
City of Baytown,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Baytown, Texas,72312,https://www.ewg.org/tapwater/system.php?pws=TX1010003,10,27 ,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone*;Atrazine*;Barium*;Bromochloroacetic acid;Bromoform;Chromium (total);Cyanide*;Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Hexadecanoic acid*;Manganese*;Metolachlor*;Molybdenum;Monochloroacetic acid;Simazine*;Strontium,2012-2017,Purchased surface water
City of Beaumont Water Utility Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Beaumont, Texas,118129,https://www.ewg.org/tapwater/system.php?pws=TX1230001,9,30 ,Aluminum;Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Manganese;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;2-Furancarboxyaldehyde;Acetone;Atrazine;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chloromethane;Chromium (hexavalent);Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Molybdenum;Monochloroacetic acid;Nitrate;Strontium;Toluene;Vanadium,2012-2017,Surface water
City of Bedford,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bedford, Texas,46979,https://www.ewg.org/tapwater/system.php?pws=TX2200003,7,30 ,Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Acetone;Aluminum;Atrazine;Barium;Bromochloroacetic acid;Bromoform;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Nitrite;Simazine;Strontium;Vanadium,2012-2017,Purchased surface water
City of Beeville,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Beeville, Texas,15039,https://www.ewg.org/tapwater/system.php?pws=TX0130001,12,33 ,Arsenic;Atrazine;Bromodichloromethane;Bromoform;Chlorite;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Barium;Bromochloroacetic acid;Chlorate;Cyanide;Dalapon;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Methyl isobutyl ketone;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Octadecanoic acid;Selenium;Simazine;Strontium;Vanadium;Xylenes (total),2012-2017,Surface water
City of Bellaire,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bellaire, Texas,22473,https://www.ewg.org/tapwater/system.php?pws=TX1010004,9,30 ,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Atrazine;Barium;Bromochloroacetic acid;Bromoform;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Molybdenum;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Nitrite;Octadecanoic acid;p-Cresol;Simazine;Strontium;Uranium;Vanadium,2012-2017,Purchased surface water
City of Belton,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Belton, Texas,21214,https://www.ewg.org/tapwater/system.php?pws=TX0140002,9,26 ,Arsenic*;Atrazine*;Bromodichloromethane;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum*;Barium*;Bromochloroacetic acid;Bromoform;Chromium (hexavalent);Cyanide*;Dibromoacetic acid;Diethyl phthalate*;Fluoride*;Haloacetic acids (HAA5);Hexadecanoic acid*;Manganese*;Molybdenum;Monochloroacetic acid;Nitrate and nitrite;Strontium;Vanadium,2012-2017,Purchased surface water
City of Big Spring,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Big Spring, Texas,27282,https://www.ewg.org/tapwater/system.php?pws=TX1140001,9,26 ,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Antimony;Barium;Bromochloroacetic acid;Chromium (hexavalent);Chromium (total);Cyanide;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Selenium;Strontium;Vanadium,2012-2017,Surface water
City of Boerne,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Boerne, Texas,16056,https://www.ewg.org/tapwater/system.php?pws=TX1300001,10,29 ,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid;Aluminum;Barium;Bromacil;Bromochloroacetic acid;Chromium (hexavalent);Dalapon;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Hexadecanoic acid;Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Octadecanoic acid;Selenium;Strontium;Uranium;Vanadium,2012-2017,Surface water
City of Bonham,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Texas Commission on Environmental Quality%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bonham, Texas,10123,https://www.ewg.org/tapwater/system.php?pws=TX0740001,9,31 ,Arsenic*;Bromodichloromethane;Chlorate;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;2-Hexanone*;Acetone*;Aluminum*;Barium*;Bromochloroacetic acid;Bromoform*;Chlorite*;Chromium (total)*;Cyanide*;Di(2-ethylhexyl) phthalate*;Dibromoacetic acid;Fluoride*;Haloacetic acids (HAA5);Manganese*;Methyl ethyl ketone*;Monobromoacetic acid;Monochloroacetic acid;Nitrate;Nitrate and nitrite;Selenium*;Strontium;Vanadium,2012-2017,Purchased surface water
