Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Snoqualmie Water,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Snoqualmie, Washington,11700,https://www.ewg.org/tapwater/system.php?pws=WA5381080,8,15 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Haloacetic acids (HAA5);Molybdenum;Nitrate;Strontium;Vanadium
Soos Creek Water and Sewer District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,King County, Washington,62898,https://www.ewg.org/tapwater/system.php?pws=WA5340100,6,20 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromochloroacetic acid;Chlorate*;Chromium (total)*;DCPA di-acid degradate*;Dibromoacetic acid*;Dibromochloromethane*;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate*;Nitrite*;Strontium;Vanadium
Southwood Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pierce County, Washington,35200,https://www.ewg.org/tapwater/system.php?pws=WA5382844,7,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Bromochloroacetic acid;Chlorate;Chloroform;Chromium (total);Dichloroacetic acid;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Trichloroacetic acid;Vanadium
Spanaway Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Spanaway, Washington,25153,https://www.ewg.org/tapwater/system.php?pws=WA5382850,7,17 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chloroform;Chromium (total);Dichloroacetic acid;Haloacetic acids (HAA5);Manganese;Molybdenum;Strontium;Trichloroacetic acid;Vanadium
Spokane County Water District 3%2C Sys 2,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Spokane, Washington,11555,https://www.ewg.org/tapwater/system.php?pws=WA5393351,8,18 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Bromoform;Chloroform;Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Summit Water & Supply Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pierce County, Washington,15500,https://www.ewg.org/tapwater/system.php?pws=WA5385050,7,15 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chloroform;Dichloroacetic acid;Haloacetic acids (HAA5);Manganese;Strontium;Trichloroacetic acid;Vanadium
Vera Water & Power,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Spokane County, Washington,24692,https://www.ewg.org/tapwater/system.php?pws=WA5391450,8,15 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Bromoform;Chlorate;Chloroform;Manganese;Strontium;Vanadium
Walla Walla Water Division,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Walla Walla, Washington,34858,https://www.ewg.org/tapwater/system.php?pws=WA5392500,7,16 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromate;Bromochloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate and nitrite;Strontium;Vanadium
West Sound Utility District #1,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Kitsap County, Washington,18790,https://www.ewg.org/tapwater/system.php?pws=WA5302600,9,22 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,1%2C3%2C5-Trimethylbenzene;Chlorate;Chloromethane;Chromium (total);Dichloromethane (methylene chloride);Ethylbenzene;Haloacetic acids (HAA5);Molybdenum;n-Propylbenzene;Strontium;Vanadium;Xylenes (total)
Whitworth Water District 2,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Spokane County, Washington,26833,https://www.ewg.org/tapwater/system.php?pws=WA5396601,3,9 ,2012-2017,Groundwater,Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228),Chromium (total);Molybdenum;Strontium;Trichloroethylene;Vanadium
Woodinville Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Washington State Department of Health%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Woodinville, Washington,48400,https://www.ewg.org/tapwater/system.php?pws=WA5341600,6,20 ,2012-2017,Purchased groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Bromochloroacetic acid*;Chlorate*;Chromium (total)*;DCPA di-acid degradate*;Dibromoacetic acid*;Dibromochloromethane;Haloacetic acids (HAA5);Monochloroacetic acid*;Nitrate*;Nitrite*;Strontium;Vanadium
Beckley Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Office of Environmental Health Services%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Beckley, West Virginia,49058,https://www.ewg.org/tapwater/system.php?pws=WV3304104,6,16 ,2012-2017,Surface water,Bromodichloromethane;Chloroform;Dichloroacetic acid;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chromium (hexavalent);Chromium (total);Dibromochloromethane;Fluoride;Haloacetic acids (HAA5);Monochloroacetic acid;Nitrate;Strontium
Berkeley County PSD - Bunker Hill,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Office of Environmental Health Services%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Baker Heights,inwood,27531,https://www.ewg.org/tapwater/system.php?pws=WV3300202,4,16 ,2012-2017,Purchased groundwater under influence of surface water,Bromodichloromethane;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs),Chlorate;Chloroform;Chromium (total);Dibromochloromethane;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Radium%2C combined (-226 & -228);Strontium;Vanadium
Berkeley County PSD/Opequon,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Office of Environmental Health Services%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Martinsburg, West Virginia,27335,https://www.ewg.org/tapwater/system.php?pws=WV3300218,9,18 ,2012-2017,Surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Monobromoacetic acid;Strontium;Vanadium
